ID,Title,Category,Plot
1657,Land Down Under,"""Romantic comedy"",  ""World cinema"",  ""Filipino Movies"",  ""Drama"",  ""Romantic drama"",  ""Romance Film"""," Arah  dreams of a better life—different from the life she knows in Bukidnon. Ranches everywhere are closing one by one. The glory her hometown once knew was slowly disappearing in favour of life abroad, particularly in Australia. Arah believes this too. Australia will save them from poverty. But Migo  does not share this belief. He believes that Bukidnon’s glory will return if only people didn’t leave. When Arah’s father suddenly encounters an accident, Arah is left with no choice but to seek better opportunities to earn money. Arah, in desperation accepts money from the Australian rancher Brian in exchange for a contract. Her decision breaks Migo’s heart. The two part ways, their problems unresolved. With the help of her co-workers, especially her new found friend, Ina , Arah slowly adjusted to the life in Australia. She is willing to hold her ground and tough it up along with the boys just to fulfill her dreams for herself and her family. It was this determination that caught the attention of the cold and mysterious Brian. Meanwhile, Migo was experiencing his own wave of reality. Bukidnon is not what it used to be. And fighting to keep a ranch alive and working is something he cannot do without enough experience. Despite his enthusiasm and hard work, his investments crumble slowly until he is left with nothing but a humbling realization—there is money in Australia, but his dreams shouldn’t really end there. Migo decides to give the land down under a try. With fierce hopes of earning back what he lost, he flies to Australia, to the land where his beloved Arah went when she left him for her dreams. Suddenly, Migo’s presence at the ranch is making Arah suspicious. It’s been years—why is he suddenly there? But destiny has other plans for the two. By a simple twist of fate, the two are thrown together on an errand. The close proximity forces the two to confront their past. And undeniably, their feelings for each other resurface. Will Arah let Migo in her heart again or will she let him go completely for the sake of Brian and her family? And will Migo find the courage to fight for her or learn to accept that he has lost her forever?"
1658,The Outsider,"""Action/Adventure"",  ""Romantic drama"",  ""Western"",  ""Drama"",  ""Romance Film"""," The Western, The Outsider, takes place in Montana of the late 19th century. Wounded outlaw Johnny Gault  is given refuge by widowed sheep farmer Rebecca Yoder . This puts Rebecca on the outs with her own people, a pacifist Amish sect. They incurs the wrath of a ruthless cattle baron who wants the Amishs' land. He was also responsible for the death of Rebecca's husband.http://www.allmovie.com/movie/the-outsider-v276077 The two enter into a relationship which is forbidden since he is an ""outsider"" from their religion and way of life. She is shunned from the fold until she is ready to confess her sins from this illicit union and be forgiven. She decides she must go back to her old way of living. When the time comes for her to do so, she is not able to walk away from her new life with Johnny. She leaves the meeting that had been set up and runs back to Johnny. In an attempt to help Johnny in a shoot out, Rebecca is hit by an enemy's bullet. She eventually recovers and they  live happily ever after as they ride off ."
1659,Trouble in Paradise,"""Romantic comedy"",  ""Crime Fiction"",  ""Screwball comedy"",  ""Black-and-white"",  ""Pre-Code"",  ""Comedy"",  ""Drama"",  ""Romance Film""","In Venice, Gaston Monescu , a master thief masquerading as a baron, meets Lily , a beautiful thief and pickpocket also pretending to be of the nobility, and the two fall in love and decide to team up. They leave Venice for Paris, and go to work for the famous perfume manufacturer Madame Mariette Colet , with the intention of stealing a great sum of money from her safe, which Monescu, as her secretary, arranges to be diverted there. In the course of things, Colet begins to flirt with Monescu, and he begins to have feelings for her. Unfortunately, the plan develops a hitch when François Filiba , one of Colet's suitors, sees Monescu at a garden party. He is unable to remember where he knows him from, but when another of Colet's suitors, The Major , tells Filiba that he once mistook Monescu for a doctor, Filiba suddenly remembers that he knows Monescu from Venice, where the thief robbed him, pretending to be a doctor. Monescu and Lily plan an immediate getaway that night, after they take all the money in the safe. Colet prepares to leave for a dinner party given by the Major, but cannot decide whether to go or to stay and have sex with Monescu. Eventually she goes, but not before Lily catches on that Monescu has fallen for her rival, and wants to back out of the plan &ndash; so she robs the safe herself after confronting her partner. At the Major's, Filiba tells Colet about Monescu, but she refuses to believe it's true. She returns home and suggestively probes Monescu, who admits that the safe has been cleaned out, but claims that he himself took the cash. He also tells her that the manager of her business, Adolph J. Giron , who has been suspicious of Monescu all along, has stolen millions of dollars from the firm over the years. Lily then confronts Colet and Monescu, reporting that it was she who stole the money from the safe. An argument ensues, in which, eventually, Colet allows the two thieves to leave together. As a parting shot, Monescu steals a necklace from Colet that Lily had her eye on, and, in turn, Lily steals it from him, displaying it to him as the taxi takes them away, hugging each other."
1660,Pain & Gain,"""Comedy film"",  ""Action"",  ""Drama""","Pain & Gain tells the true story of a gang of Miami bodybuilders who get involved with extortion, kidnapping, and murder. Mark Wahlberg, Dwayne Johnson  and Ed Harris have starring roles in the film. Harris plays private detective [http://investigators-inc.com/content.aspx?idThe Official Fan Page of Ed DuBois|urlPain & Gain - Miami New Times Three-Part Series|url=http://www.miaminewtimes.com/specialReports/pain-and-gain-from-new-times-story-to-michael-bay-film-1890864/}}"
1661,Bullet in the Head,"""Thriller"",  ""Gangster Film"",  ""World cinema"",  ""Action/Adventure"",  ""War film"",  ""Action"",  ""Chinese Movies"""," In 1967, Hong Kong, Ben, Paul, and Frank are childhood friends. They engage in all kinds of activities from racing bikes through the crowded city, to fighting other gangs. One day, Ben, the pseudo-leader of the group, proposes to his long-time girlfriend Jane. They have a wedding with all of their friends in attendance. In order to pay for the wedding, Frank gets a loan from Mr. Kwai, a loan-shark associated with the mob. Frank races back to the wedding, but is accosted by Ringo, the leader of another gang. Frank begs Ringo to let him pass, but Ringo demands the money and hits him with a bottle, cutting his head. Frank manages to escape the gang members with the money, and reaches the wedding in time. He laughs off questions about his lateness and claims the injury comes from tripping in the gutter. That night, Ben sees Frank's mother kick him out of the house. He goes and meets with Frank in the alley and confronts him about his injury. Frank tells the truth and the two of them seek out Ringo at a bar. They cause a distraction and Ringo's men leave. The two of them attack Ringo and accidentally kill him. The next day, police search for Ben and Frank. The two of them meet with Paul and decide to leave Hong Kong. Remembering what a guest told him at Ben's wedding, Paul suggests they head to Vietnam as the war has made smugglers rich. Ben, Paul, and Frank get a load of contraband goods from Mr. Shing, a smuggler and agree to take them to Y.S. Leong, a Vietnamese gangster. The three friends leave and reach Saigon by boat. On their first day in the city, a Vietcong suicide bomber destroys all of their goods in an attempt on an ARVN officer. The three of them as well as a number of Vietnamese are arrested as Vietcong suspects. Despite trying to explain that they are Chinese, the three of them are interrogated and beaten. Finally, the ARVN soldiers find a young boy who is the real Vietcong bomber and execute him on the spot. Witnessing this has a profound effect on Paul and Frank. Frank vomits into the river at the memory of the violence and declares he never wants to see anyone else killed. Paul on the other hand declares that guns equal power. Despite Frank's protests, they get their hands on some guns. Paul tests his theory by robbing a store almost immediately, to Ben's disbelief. They finally find their way to Leong's nightclub/brothel and are surprised to see Sally Yen, a well known Hong Kong singer. It turns out that Leong tricked her into coming to the Vietnam and turned her into a prostitute. They also meet Luke, a killer for Leong who dreams of escaping to Hong Kong with Sally. The four of them form a plan to free Sally and rob Leong. They deliver fake goods to Leong, who accepts them at first, but then holds Ben, Paul and Frank at gunpoint, demanding that they drink urine. Luke sets them free and a shootout ensues in the nightclub. Eventually, the four of them plus Sally hole up in Leong's office with an army of thugs and corrupt ARVN soldiers outside. Paul finds a box full of gold that the ARVN were using to bribe Leong and becomes obsessed with it. They escape Leong's office, but Leong shoots Sally in the back, wounding her. Luke and Paul reach the getaway car while Ben and Frank hold off the thugs. Paul begs Luke to drive, but he waits for the other two. They escape into the night despite a Vietcong attack on the road. The next morning, the five of them wait by the river for a boat that is supposed to pick them up. Ben and Frank comfort the dying Sally while Luke looks for the boat and Paul guards the gold. The boat finally arrives just in time for an attack by gangsters and ARVN troops. The boat's driver attempts to flee but is killed. Paul starts the boat and picks up Frank. Ben and Luke carry Sally all the way to the boat, but she dies just as they reach it. Heartbroken, Luke lets her body drift down the river. They four of them escape from the attack but the boat stops working. Paul panics as he is frightened that he will lose the gold. Frank angrily opens the box and tosses some of the gold over board. Paul points a gun at him and threatens him. Ben and Frank angrily argue with Paul and announce the end of their friendship. Paul breaks down, crying that all he wants in life is the gold. Just then, the boat is ambushed by the gangsters and it is sunk. Luke, Ben, and Frank escape, but Paul goes back for the gold. The box is too heavy and almost drowns him, but Ben and Frank save him and the gold. The Vietcong ambushes the gangsters and takes Ben, Paul, and Frank as well as several ARVNs prisoner. They are brought to a prison camp where the prisoners are beaten, tortured and often executed for the Vietcong's amusement. While searching the belongings of the prisoners, the vietcong find the gold and buried in it a list of CIA agents and maps that Leong was going to sell to the North Vietnamese that he had gotten from corrupt ARVN officers. A vietcong officer interrogates Ben, Paul, and Frank about the CIA, which they of course have no knowledge of. Later, teh Vietcong force an American prisoner to shoot other prisoners to their immense enjoyment. The Vietcong officer uses this to intimidate the three Chinese men, and Paul claims he works for the CIA. He is taken inside and Frank is chosen to kill more prisoners. Frank panics and cries, screaming that he doesn't want to kill anyone. Ben shouts encouragement to him, and convinces the Vietcong to let him shoot prisoners as well. He happily kills some of the ARVN troops that had been chasing them. The Vietcong then tell him to kill Frank, which he agrees to, while giving instructions to Frank in Chinese. Ben shoots the Vietcong and he and Frank begin and escape, aided by Luke's arrival with an American strike force. Meanwhile, Paul escapes from the Vietcong as well and takes the gold into a field. Frank sees him and follows him, but is wounded in the process. He crawls after Paul, crying out for help. Paul urges him to be quiet so that the Vietcong can't find them. Frank continues to scream in pain and fear, and Paul shoots him in the back of the head to silence him. Luke guns down the Vietcong and rushes to Frank's side, finding him still alive. Frank is loaded into a helicopter and taken to an American base. Ben chases after Paul. Paul finds his way to a peaceful river village and steals a boat. The boat's owners try to stop them, so he massacres them. Ben sees this and tries to save a wounded child. Paul shoots both of them and drives the boat away. Ben is found by Buddhist monks and saved. He journeys back to Saigon and finds Luke who has been disfigured by hand grenade. Luke tells Ben that Frank is still alive, but that the bullet that remains in his head has changed him. Frank now works as a killer in order to support his heroin use, which is the only thing that stops the pain from his head wound by reducing him to a catatonic state. Luke takes Ben to see Frank, whose first response is to shoot at his old friends. Luke offers him heroin, which he takes. Ben takes the needle from him, which causes Frank to try to kill him. He gives the needle back and Frank falls catatonic. Ben tries to talk to him, but gets nothing but blank stares. Finally, Ben takes the gun and aims it at Frank's head. Frank grabs the gun and moves it to point at his heart. Ben shoots Frank to put him out of his misery. Ben travels back to Hong Kong, while Luke stays in Vietnam. In Hong Kong, Ben sees Jane for the first time in a long time. She has a baby named Frank, which Ben holds in his arms. Meanwhile, Paul has become a successful business man and has been named the successor to the CEO position. Ben enters the boardroom and confronts Paul. Paul is happy to see his old friend, but Ben is angry. Ben opens his bag and reveals Frank's skull, telling him what happened to Frank. Paul is indifferent and kicks Ben out. Later, Paul leaves the office in his car and is chased by Ben. They shoot at each other for a while, eventually making their way to the pier that they had raced down on bikes as kids. Both cars crash. Ben thinks Paul died in the crash, but Paul attacks him from behind, wounding him. Paul picks up Frank's skull and yells at it. He wrestles with Ben for a moment and shoves a gun in his hand, telling him to put Frank out of his misery. Ben shoots Frank's skull. Paul turns the gun on Ben, but Ben pulls another gun and shoots Paul first. Paul dies. Ben tosses the gun and limps away from the scene."
1662,My Girlfriend Is An Agent,"""Action/Adventure"",  ""Action"",  ""Comedy"",  ""World cinema""","A Russian organized crime group is set out to steal an advanced chemical weapon from Korea and two secret agents are out to stop them. One is a veteran secret agent named Ahn Soo-ji  who is a master of all forms of martial arts and envied by her comrades. Another is a rookie named Lee Jae-joon  who’s never been out on the field and always goofs up on the job. The two agents don’t know each other’s secret identity. All that they know is that they hate each other. As a couple that is... Soo-ji and Jae-joon were once a passionate couple until Jae-joon couldn’t take her lies anymore. But all Soo-ji was trying to do was hide her secret identity. Nonetheless, the two went on their separate ways and by coincidence bump into each other years later while out on the job. As the two work out their screwy relationship, they go behind each other’s backs to fulfill their mission to save the world."
1663,I Am the Ripper,"""Horror""","The film begins with a party, where a crowd of people have gathered at a friend's apartment. When a horny man named Yann goes to the bathroom to check out the kick in the eye he received for pawing goth hottie Raphaëlle, he's attacked and murdered by a strange and mysterious man in a cloak and skull mask. His body is discovered by a girl named Kae, and the killer promptly takes her head, and right in the middle of the party. Everyone pauses and the apartment erupts in panic. The stranger wades through the partygoers, skewering heads and slashing away until the revelers have either fled or perished. Raphaëlle challenges the assassin to fight. Meanwhile the rest of the survivors run for safety, but somehow they keep finding themselves back in the same apartment. They all decide to split up to find help, but time and time again they still end up at the apartment. They find Raphaëlle and discover that she had been possessed and transformed into a hellish she-bitch. The slaughtering continues as the killer finds the remaining survivors, they manage to fight back and turn the killers gun on him. Peter continues to search for Raphaëlle, what he finds instead is death and another gun fight takes place. When the bullets run out, Peter takes a beating from death and gives him a glimpse into hell, but death decides to spare Peter's life for the moment, as Peter has been able to fight him off the longest. Death now proposes a challenge: a fight, with the winner keeping Peter's soul. Death gives Peter 24 hours to rest up and train for the fight and he is also cautioned regarding the concequences should he try to cheat Death in any way. Peter decides to take his fate into his own hands, and puts a pistol to his head. What he sees next is all his dead friends who take him to a club where the rules of the afterlife are explained to him. There is a small ""entrance exam"" given by their new employer, during which the candidate must take the life of someone he loved while he was alive. Peter's target is easily identified, and not wanting their ""contracts cancelled"" his friends tag along to ensure that all goes well. Joining them is another friend from the party who now declares that he's a real angel, not an angel of Death, and has been sent down as an arbiter for the events that come to pass when Death walks among the living."
1664,Welcome to Collinwood,"""Crime Fiction"",  ""Caper story"",  ""Screwball comedy"",  ""Crime Comedy"",  ""Comedy""","Cosimo  and Toto  attempt to steal a car and Cosimo gets caught. In jail, he meets an old man who tells him about a Bellini - a perfect heist -- which he cannot pull off because of his jail sentence. Cosimo wants his girlfriend/fiancée, Rosalind , to find a ""Mullinski""  so that he can get out of jail and pull off this Bellini. After talking to Toto, Basil , Leon , and Pero  - and telling them the basics of the ""Bellini"" in the process - Pero is paid $16,000 to confess to Cosimo's crime. In jail, he gets Cosimo to tell him what the Bellini is, and then lets him know that his sentence was suspended so that he walks out a free man, leaving Cosimo to rot in jail. When he gets home, Pero is confronted by Cosimo's girlfriend, Rosalind, and some of the other people she asked to take the fall for Cosimo, including: Riley, whose wife is in jail and he to take care of his baby , Leon, and Toto. Pero tells them he used the money to pay off his debts, but reveals the Bellini. A brick building on Chester used to be a flour factory. Later it was converted, half into apartments and half into a jewelry store. The old man in jail was hired to work on the renovation. He created a small false wall between one of the apartments and the room with the jewelry store safe. Pero, Riley, Leon, Toto, and Rosalind all agree to go in on the heist together. Riley sold all of his camera equipment to buy baby supplies, but goes to a street market and steals a video camera so that they can record the owner opening the safe and get the combination. After many failed attempts to record the combination, they hire a safe cracker, Jerzy, to teach them how to crack the safe. The gang have to watch out for Sgt. Babitch, who is keeping a close eye on them. They are shocked to find that a pair of maiden aunts and a young woman named Carmela have moved into the vacant apartment. Leon and Basil pretend to accost Carmela and Pero comes to her ""rescue."" He gets a date with her and takes her to the street carnival. In the meantime, a guard watching over Cosimo suddenly falls down dead. Cosimo takes the guard's uniform and uses it to escape from jail. He confronts Pero in the funhouse at the carnival, and then the gang and a fight breaks out. Cosimo doesn't want to share the Bellini, and hits Rosalind for betraying him. They try to convince him that they can split the take equally, but Cosimo threatens to kill anyone who tries to pull off his heist. Rosalind leaves the group, no longer interested in the heist. Pero finds that he is falling for Carmela. She reveals that the aunts will be out of town for several days. That same night Cosimo dies in a bus accident. Basil meets Leon's sister, Michelle, and they begin dating even though she's engaged; Michelle tells Basil that she wants an ""honest man"". Pero, having lied about the $16,000, gives it to Babitch to let them do the job. The night of the heist, Riley leaves his baby with Rosalind, but on his way to meet up at Pero's apartment he gets his arm broken by the men he stole the video camera from. His arm is in a cast and he's taken almost a bottleful of Vicodin . Leon, having found out about Michelle and Basil, confronts him. Basil admits that he can't pull the heist because he got an honest job in order to be worthy of Michelle. He leaves. During the heist, everything that can go wrong, does. Riley is completely drugged, Toto loses his pants, Pero bites off the tip of his tongue, the janitor comes in to check on the apartment while the guys are there, and they realize that the floor plans they got were incorrect. They break through the wrong wall  at 3am and realize there is not enough time to get it right and crack open the safe. Toto finds $1,000 in the cookie jar. While reheating dinner on the stove in the aunts' apartment, they accidentally blow up the stove. The end scene is the group after the explosion standing at the bus stop. Riley suggests that they shouldn't see one another again. As he is getting on the bus, Pero looks at Leon and Toto, and all agree to give Riley the $1000 to get his wife out of jail. Leon heads home to apologize to his sister and tells Pero to let him know when he gets another Bellini. As Pero leaves, Toto asks him about Carmela, and tells him that it's important to have someone to walk with, more so than money."
1665,Quake,"""Disaster"",  ""Action""","Set around the events of the 1989 Loma Prieta earthquake, a young couple, Jenny  and David , experience the horror of being terrorized by a psychotic neighbor, Kyle , in a city where panic and fear is the order of the day."
1666,No More Ladies,"""Romantic comedy"",  ""Romantic drama"",  ""Romance Film"",  ""Comedy"",  ""Black-and-white""","Marcia, , a young socialite is a firm believer that a couple should be faithful to one another, unlike her peers who do not feel so strongly. Marcia meets Jim , who agrees with her on the subject of a couple's monogamy and pursues her. Marcia, however, decides to pursue Sherry , whom Marcia sees as a challenge and proceeds to cure him of his philandering nature. Marcia and Sherry are married, yet Sherry continues as before. Marcia decides to teach her husband a lesson, by having a party, where she invites Sherry's former flames along with their mates. Marcia announces that she intends to be unfaithful to her husband, by having a fling with Jim, who still cares for Marcia. In the end, Marcia stays true to her beliefs and cannot go through as she planned. Sherry then sees how much his wife loves him and is convinced to reform his former ways."
1667,Pierrot le fou,"""Crime Fiction"",  ""Art film"",  ""World cinema"",  ""Road movie"",  ""Experimental film"",  ""Musical"",  ""Drama"",  ""Comedy"",  ""Romantic drama"",  ""Romance Film"",  ""Avant-garde""","Ferdinand Griffon  is unhappily married and has been recently fired from his job at a TV broadcasting company. After attending a mindless party full of shallow discussions in Paris, he feels a need to escape and decides to run away with his baby-sitter, an ex-girlfriend, Marianne Renoir , leaving his wife and children and bourgeois lifestyle. Following Marianne into her apartment and finding a corpse, Ferdinand soon discovers that Marianne is being chased by OAS gangsters, two of whom they barely escape. Pierrot , and Marianne go on a traveling crime spree from Paris to the Mediterranean Sea in the dead man's car. They lead an unorthodox life, always on the run. Settling down in the French Riviera after having burnt the dead man's car  and sunk a second car into the Mediterranean Sea, their relationship becomes strained. Ferdinand ends up reading books, philosophizing and writing in his diary. Marianne becomes bored of the Robert Louis Stevenson-ness of their living situation and insists they return to town, where in a night-club they meet one of their pursuers. The gangsters waterboard Ferdinand and depart. In the confusion, Marianne and Ferdinand are separated, with Marianne traveling in search of Ferdinand and Ferdinand settling in Toulon. After their eventual reunion, Marianne uses Ferdinand to get a suitcase full of money before running away with her real boyfriend, to whom she had previously referred as her brother. Pierrot shoots Marianne and her boyfriend, and, in the climactic scene, paints his face blue and decides to blow himself up by tying sticks of red and yellow dynamite to his head. Regretting his decision at the last second, he tries to extinguish the fuse, but, due to the dynamite obstructing his vision, fails and is blown up."
1668,You Must Be Joking!,"""Comedy""",A collection of British soldiers and one US Air Force officer are tested in initiative by being given a scavenger hunt to perform.
1669,El revólver sangriento,"""Western""","The film opens in a cave with a close-up of Juan Chávez's ([[Luis Aguilar  silver-plated revolver as he glances at a ""Wanted"" poster that offers a reward, dead or alive, for his capture. A suspicious man follows Juan out of the cave, and traces him into a small town. There, he enters a bar called ""La Patrona"", whose bartender is Carmen  who is infatuated with Juan. She serves him something to drink, and they conversate, as a next scene focuses on a beautiful woman named Rosa  who sings the song ""Cariño bonito"" as she waters her geraniums and watches her birds. At the end of her singing, her aunt  arrives at the house and tells her of Juan's return to the town. She replies that he came back for her to take her with him, and to prepare her clothes. When Rosa arrives at the bar, Juan responds to her coldly, and even depreciates her."
1670,Der Tiger von Eschnapur,"""Romantic drama"",  ""Romance Film"",  ""Drama"",  ""Adventure""","The tale begins when architect Harold Berger  arrives in India to meet with Maharahaja Chandra , for whom he will build schools and hospitals. En route to the Maharahaja's palace, Berger meets a dancer named Seetha  and saves her from a tiger. Seetha, whose father was European, is promised to the Maharahaja, but she and the architect begin to fall in love. Predictably, this leads to a buildup of tension between Chandra and Berger, helped along by scheming palace courtiers. The film is also filled with action, and a highlight of it is Seetha's first ritual dance. At the end of Tiger, Seetha and Berger are imprisoned but escape into the desert just as Berger's sister and her husband, also an architect who works with Berger, arrive in Eschnapur. Chandra informs them the plans have changed; he now wants a tomb to be built."
1671,Tansy,"""Silent film""","George Firle  is a shepherd, helped in his work by daughter Tansy  who has learned shepherding skills from her father. One evening Tansy slips out of the house after her father has gone to the pub to meet up with farm labourer Clem . George returns, finds Tansy absent and goes to look for her. He finds her in Clem's caravan, trying to fight off unwanted advances, and rescues her. The owner of the farm hears about the incident and assumes that it shows Tansy's immorality and that she must have been leading Clem on to end up in such a compromising situation. He orders George and Tansy to leave the farm. George and Tansy set out on foot for the nearest town. On the journey, George collapses. Local farmer's son Joad Wilverley  comes across the stricken pair while driving by and offers his help. Arriving at the Wilverley farm, they discover that George has died. The Wilverleys offer shelter to the distraught Tansy, and later she overhears Joad talking with his younger brother Will  about their need for a shepherd. Tansy offers her services, initially to the brothers' amusement, but she proves her worth by expertly rounding up a flock of sheep and is given the job. Tansy's skills give the farm one of its best ever lambing seasons. Meanwhile both brothers have fallen in love with her and begin to realise that they are rivals. Joad, as the elder brother, believes he should have first claim; however Tansy is more drawn to Will, and allows him to kiss her while they are walking together. The fraternal rivalry intensifies and Joad attempts to win over Tansy by buying her expensive gifts. Will finally offers to marry Tansy and she accepts the proposal. Will goes to break the news to Joad, who responds by provoking a fight during which he badly beats his brother. At the same time Clem appears back on the scene and again tries to force himself on Tansy. She manages to break free and flees in panic to the Wilverley house. However Joad has been stricken with remorse for his treatment of Will and orders Tansy to leave, saying she has been the cause of all the trouble between the two. After Tansy has departed, a Wilverley servant tells Joad that Tansy has always loved Will and he must tell Will to go after her. Joad realises the truth that Will and Tansy should be free to marry. He sends Will off in pursuit. Clem has once again caught up with Tansy and is trying to accost her when Will catches up with them and deals appropriately with him. Will and Tansy embrace."
1672,Tormented,"""Black comedy"",  ""Horror"",  ""Comedy"",  ""Teen"""," The film opens with head girl Justine Fielding  being escorted out of Fairview High School by the police, as other pupils look on. There is then a flashback to five days earlier, where Justine is reading at the funeral of unpopular, asthmatic student Darren Mullet . She starts to talk about him, when Mullet's equally unpopular friend, Jason Banks , stands up in church and angrily calls her a hypocrite because she did not really know him. He is then thrown out of church by the sadistic PE teacher. Later on, Justine is talking to her friend Helena  about staying in and watching a Keira Knightley DVD when school heart-throb Alex  decides to invite her to a party that his popular friends, Bradley , Tasha , Khalillah , Sophie , and Marcus , are having. She decides to go to the party, rather than staying in with Helena. At the party, when Justine arrives, Tasha tells Jez , the DJ, to say something about her appearance. He begins to rap about her in an unflattering manner. When Alex tells him to stop, he is literally thrown out of the party by Bradley. Later, Alex and Justine go to one of the bedrooms where Alex he tells her they are on a date, at which point they kiss. Meanwhile, Bradley, Tasha, Khalillah, Marcus and Sophie all receive insulting and degrading text messages from Mullet's number. During this, someone puts on a clown costume and grabs a chainsaw, before heading up to the room in which Alex and Justine are kissing. The figure is revealed to be Bradley, who is playing a prank on them. Jez goes to the cemetery to celebrate Mullet's death and urinates on his grave . He is then killed by an unseen figure, who stabs him with a cross. Later, the 'in-crowd' have a toast to Mullet's life, and Justine admits that she didn't even know who he was. The next day, the group arrives at school, and the headmaster mentions that Jez never came home the night before. Bradley threatens Nasser ([[James Floyd , the leader of the school's emo clique, about removing a website he had put up about Mullet. Justine is persuaded to hang around with the popular crowd, and tells Helena that she won't be able to make it to her DVD night. She finds a teddy bear  in her locker and assumes it is from Alex. He asks her on another date after this, which she agrees to. She goes to see Jason and he tells her that Mullet was in love with her, and hands her his suicide note. While she is reading the note, a teacher tells her that she will make a great pupil at Oxford University. In the school's recording studio, Nasser is then attacked, and sees Mullet's ghost. The ghost increases the volume of Nasser's music and forces him to listen, rendering him deaf. He is taken to the ambulance, yelling to everyone; ""Mullet's back!"", but no one believes him. Over the course of the day, the gang get more messages, and Bradley believes Jason is sending them. Jason, meanwhile is in art class, and the teacher tells everyone that the guillotine is faulty and they shouldn't touch it. A boy sent by Bradley fetches him out of class, and then Bradley and Marcus chase him into the gym, where they give him a wedgie and assault him, but are interrupted by another message, meaning Jason cannot have sent it. The sadistic PE teacher then arrives and unfairly gives Jason detention. Later, Justine confronts Jason about the note, but he denies forging it, and breaks down in tears about the horrific bullying that caused Darren Mullet to kill himself. He tells Justine about the vicious emails and texts sent to Mullet, and also tells her about the website that Bradley's gang created about him. When Justine asks who was responsible for Mullet's suicide, Jason fearfully glances over at the popular kids she has been hanging out with. She shows Alex the suicide note, but his friends tell her she cannot hand it into the police, because as it accuses Justine of hating him, she would implicate herself in his death. The girls decide that Helena has been sending the messages and attack her in the bathroom, with Tasha smashing her phone. After swim practice, Sophie tells Justine that she should sleep with Alex that night, but goes back into the swimming pool, where she is attacked by Mullet's ghost, who throws her into the pool and drags her underwater where she drowns. Later that night, Justine and Alex slept together, but are seen by Mullet who had lovingly brought some flowers for her, who tears the badge from her uniform, and re-arranges her fridge magnets, calling her a ""dirty slut just like the others"". Marcus is then in PE class, where he sees Mullet's ghost, and the teacher tells him to go and have a shower, just as the art teacher arrives and tells the head that they have found Sophie's body. In the shower, he is led to a mirror with ""moron"" on it which Marcus hates being called, then is brutally whipped with a towel by the ghost of Mullet while nude. He manages to fight him off with a cricket bat after painfully popping his bloodied eye back into his skull and heads outside, running into Helena, who accuses him of trying to rape her because he is semi naked. He manages to get outside, and is impaled upon a fence by the ghost. Later on, the gang are at Bradley's house, and they have an argument about who killed their friends, ending in Tasha and Justine getting into a fight, and Justine is thrown into the swimming pool. Bradley decides to go and dig Mullet's body up at the cemetery to prove that Mullet cannot be responsible for the murders. Justine goes home, and demands that Alex shows her the website, where she tearfully witnesses the diabolical stunts inflicted on Mullet by Bradley and his friends - including Alex . Justine is even more revolted when she realizes that she was rude to Mullet because he interrupted a conversation about her going to Oxford, and ignored his pleas for her to stop the in-crowd torturing him. She tells Alex that he is deceitful and a liar, and that their relationship is over. Tasha becomes drunk in Bradley's car as he took her to dig up Mullet. After attempting to dig up Mullet's corpse, Bradley breaks down, and begins to cry with grief over the death of his friends. Tasha consoles him, and the two have sex in the back seat of Bradley's car. Tasha sees Mullet's ghost and tries to get Bradley off her. Despite her desperate attempt to get Bradley's attention, Mullet drags Bradley out of the vehicle and rips off his penis  killing Bradley due to blood loss. Tasha gets free and runs into an open grave. She explains that she lied to Mullet, telling that she loved him ever since they met each other. Mullet stands behind her with a shovel and decapitates her. The next day, she arrives at the art class, where Jason has painted Munch's ""The Scream"" painting, and tells him that she was responsible for Mullet's death. He tells her that it has been his fault, because he was scared of being bullied, so he told Bradley that Mullet fancied her. She leaves the room, and Mullet appears, and kills him by jamming two pencils up his nose and slamming his head against the table. Justine approaches Helena and tells her that she is sorry, that her friends, including Alex were all horrible. Khalillah runs over and asks her where Tasha is, but Justine tells her she doesn't care. Khalillah then gets a text message from Tasha telling her to meet her in the art room. Before Justine can follow, she is confronted by Alex, who tells her he is going to kill Mullet for what he has done to everyone. Justine tells him that Khalilah is in danger. Khalillah gets to the empty art room, and sees ""The Scream"" with her name on it, at which point Mullet puts a plastic bag over her head, before using the guillotine to slice her hands off. She tries to call the head teacher, but he is too busy with the police, who tell him that Justine's badge has been found near the bodies of Bradley and Tasha. They get to the art room, and find Jason's and Khalillah's bodies, but are attacked by Mullet. They break free, by stabbing him in the stomach with a screwdriver and head to the common room, where Mullet follows them. Alex tries to stop him, but is stabbed in the hand with the screwdriver and his hand is tightly nailed in the floor. Justine gets him to stop, but he begins to choke her to death. She grabs his inhaler and throws it across the room, telling Alex to smash it. He does, and the ghost begins to die. Justine tells Alex to leave, but he starts being a bully again and punches Mullet, knocking a sofa over, and finding Mullet's other inhaler which Alex had hidden from Mullet when he was alive. Mullet then uses it and then stabs Alex in the throat with the screwdriver. Mullet flees just as the police arrive. Justine is then led out and into the police car seen earlier, having been arrested for the murders. She sees Mullet's ghost but then it disappears, what happened next to her is never revealed. During the credits, there is a sequence where the foul-mouthed PE teacher is telling students off, and Mullet is shown getting ready for revenge on him."
